Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 50, warmup iterations: 20, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
mype: 1 mype_node: 1 device name: NVIDIA H200 bus id: 45 
Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 50, warmup iterations: 20, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#shmem_g_bw
size(B)     scope     BW (GB/sec)     
4           None      0.001864        
8           None      0.003725        
16          None      0.007454        
32          None      0.014854        
64          None      0.029895        
128         None      0.059418        
256         None      0.118659        
512         None      0.238877        
1024        None      0.481783        
2048        None      0.950683        
4096        None      1.793219        
8192        None      3.492496        
16384       None      5.031446        
32768       None      6.465463        
65536       None      7.446189        
131072      None      8.060771        
262144      None      8.431974        
524288      None      8.614634        
1048576     None      8.722689        
2097152     None      8.781644        
4194304     None      8.816044        
8388608     None      8.829049        
16777216    None      7.419912        
33554432    None      7.425286        
